student_dim_id,sis_user_id,student_label,export_id,canvas_gradebook_section,graduation_year,graduation_year_suffix,cohort_label,entry_school_year,entry_school_year_offset,graduation_school_year,graduation_school_year_offset,attendance_category,attendance_probability,latest_academic_profile_status,latest_posterior_readiness,latest_latent_readiness,latest_present_score
138,SYN-SIS-000138,Synthetic Student 138,SYN-EXP-000138,Section B,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.8822,updated_assignment_02,92.90519164239002,94.2952,95.17
139,SYN-SIS-000139,Synthetic Student 139,SYN-EXP-000139,Section C,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.8868,updated_assignment_04,44.97099209211462,50.4144,44.92
140,SYN-SIS-000140,Synthetic Student 140,SYN-EXP-000140,Section D,2028,28,class_of_2028,2025-2026,0,2027-2028,2,at_risk,0.8058,updated_assignment_06,42.909898901658195,50.1384,43.3
141,SYN-SIS-000141,Synthetic Student 141,SYN-EXP-000141,Section A,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.987,updated_assignment_02,85.78129226664686,87.3664,88.05
142,SYN-SIS-000142,Synthetic Student 142,SYN-EXP-000142,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.8962,updated_assignment_08,47.09131083060098,47.0772,48.38
143,SYN-SIS-000143,Synthetic Student 143,SYN-EXP-000143,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9868,updated_assignment_08,56.80576837386239,52.0595,58.53
144,SYN-SIS-000144,Synthetic Student 144,SYN-EXP-000144,Section D,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.9573,updated_assignment_02,81.36471572086802,80.685,82.23
145,SYN-SIS-000145,Synthetic Student 145,SYN-EXP-000145,Section A,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.92,updated_assignment_06,30.000794585161998,28.8543,30.28
146,SYN-SIS-000146,Synthetic Student 146,SYN-EXP-000146,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9396,updated_assignment_08,86.14781159990707,87.863,87.23
147,SYN-SIS-000147,Synthetic Student 147,SYN-EXP-000147,Section C,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9001,updated_assignment_04,65.0442708635553,66.555,65.72
148,SYN-SIS-000148,Synthetic Student 148,SYN-EXP-000148,Section D,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9298,observed_readiness_unchanged_absent,48.14999945433283,53.9682,47.53
149,SYN-SIS-000149,Synthetic Student 149,SYN-EXP-000149,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9296,updated_assignment_08,61.13648789915717,65.7278,61.26
150,SYN-SIS-000150,Synthetic Student 150,SYN-EXP-000150,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9436,updated_assignment_08,73.2561158705948,73.6713,73.51
151,SYN-SIS-000151,Synthetic Student 151,SYN-EXP-000151,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,at_risk,0.6845,updated_assignment_08,73.64563446242248,75.4023,74.49
152,SYN-SIS-000152,Synthetic Student 152,SYN-EXP-000152,Section D,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9007,updated_assignment_06,83.30632771985,79.623,85.61
153,SYN-SIS-000153,Synthetic Student 153,SYN-EXP-000153,Section A,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.9494,updated_assignment_02,44.12706812871581,46.9625,44.1
154,SYN-SIS-000154,Synthetic Student 154,SYN-EXP-000154,Section B,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9831,updated_assignment_04,92.27831383273357,92.7599,93.12
155,SYN-SIS-000155,Synthetic Student 155,SYN-EXP-000155,Section C,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9655,updated_assignment_06,54.488399614959896,53.7782,55.4
156,SYN-SIS-000156,Synthetic Student 156,SYN-EXP-000156,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9721,updated_assignment_08,35.88388103034037,31.9469,36.73
157,SYN-SIS-000157,Synthetic Student 157,SYN-EXP-000157,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9931,updated_assignment_08,61.87067660415926,65.1365,62.21
158,SYN-SIS-000158,Synthetic Student 158,SYN-EXP-000158,Section B,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.8896,updated_assignment_04,92.89514490307361,91.5456,94.59
159,SYN-SIS-000159,Synthetic Student 159,SYN-EXP-000159,Section C,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9394,updated_assignment_06,59.38887298892331,59.1797,61.31
160,SYN-SIS-000160,Synthetic Student 160,SYN-EXP-000160,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9176,updated_assignment_08,48.47738835508125,46.7364,49.23
161,SYN-SIS-000161,Synthetic Student 161,SYN-EXP-000161,Section A,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9282,updated_assignment_04,53.49980976644974,55.3212,53.74
162,SYN-SIS-000162,Synthetic Student 162,SYN-EXP-000162,Section B,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9866,observed_readiness_unchanged_absent,61.010570689655175,66.9179,61.86
163,SYN-SIS-000163,Synthetic Student 163,SYN-EXP-000163,Section C,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9815,updated_assignment_02,49.936291969381685,52.1011,50.14
164,SYN-SIS-000164,Synthetic Student 164,SYN-EXP-000164,Section D,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9538,updated_assignment_06,40.88855741087688,42.528,41.43
165,SYN-SIS-000165,Synthetic Student 165,SYN-EXP-000165,Section A,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.941,updated_assignment_06,53.95129675146769,54.6014,54.8
166,SYN-SIS-000166,Synthetic Student 166,SYN-EXP-000166,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9936,updated_assignment_08,23.826159380161837,25.6044,23.65
167,SYN-SIS-000167,Synthetic Student 167,SYN-EXP-000167,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.8967,updated_assignment_08,83.61688080306328,84.5096,84.08
168,SYN-SIS-000168,Synthetic Student 168,SYN-EXP-000168,Section D,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.9025,updated_assignment_02,67.6231653344233,63.683,68.58
169,SYN-SIS-000169,Synthetic Student 169,SYN-EXP-000169,Section A,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9756,updated_assignment_02,95.59743138674197,97.1532,97.2
170,SYN-SIS-000170,Synthetic Student 170,SYN-EXP-000170,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,at_risk,0.7527,observed_readiness_unchanged_absent,28.095089786931936,32.2449,28.74
171,SYN-SIS-000171,Synthetic Student 171,SYN-EXP-000171,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9823,updated_assignment_08,24.308093794490443,25.5497,23.85
172,SYN-SIS-000172,Synthetic Student 172,SYN-EXP-000172,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9751,updated_assignment_08,44.899732392742315,46.1542,45.62
173,SYN-SIS-000173,Synthetic Student 173,SYN-EXP-000173,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,at_risk,0.7424,updated_assignment_08,45.60782339459616,46.6392,45.88
174,SYN-SIS-000174,Synthetic Student 174,SYN-EXP-000174,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.8705,updated_assignment_06,58.40982873743646,60.8924,58.5
175,SYN-SIS-000175,Synthetic Student 175,SYN-EXP-000175,Section C,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9372,updated_assignment_04,50.478376984122384,52.6579,50.55
176,SYN-SIS-000176,Synthetic Student 176,SYN-EXP-000176,Section D,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9915,updated_assignment_06,40.646421570171675,40.769,41.99
177,SYN-SIS-000177,Synthetic Student 177,SYN-EXP-000177,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9877,updated_assignment_08,90.39606619887596,91.6679,91.93
178,SYN-SIS-000178,Synthetic Student 178,SYN-EXP-000178,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9799,updated_assignment_08,15.905103159663394,15.5774,14.97
179,SYN-SIS-000179,Synthetic Student 179,SYN-EXP-000179,Section C,2026,26,class_of_2026,2025-2026,0,2025-2026,0,at_risk,0.7378,updated_assignment_02,73.61319684453032,70.5727,75.57
180,SYN-SIS-000180,Synthetic Student 180,SYN-EXP-000180,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9915,updated_assignment_08,48.17832896263359,48.964,47.99
181,SYN-SIS-000181,Synthetic Student 181,SYN-EXP-000181,Section A,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.8796,updated_assignment_06,49.54289058980972,51.1937,49.51
182,SYN-SIS-000182,Synthetic Student 182,SYN-EXP-000182,Section B,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9722,updated_assignment_02,49.36720591111772,45.8637,50.42
183,SYN-SIS-000183,Synthetic Student 183,SYN-EXP-000183,Section C,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9603,updated_assignment_06,37.64413146109281,42.4227,36.25
184,SYN-SIS-000184,Synthetic Student 184,SYN-EXP-000184,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9013,updated_assignment_08,60.32431360775006,54.9262,61.55
185,SYN-SIS-000185,Synthetic Student 185,SYN-EXP-000185,Section A,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9231,updated_assignment_04,60.25028916888026,61.1644,61.95
186,SYN-SIS-000186,Synthetic Student 186,SYN-EXP-000186,Section B,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.977,observed_readiness_unchanged_absent,17.547684674589465,29.0036,15.36
187,SYN-SIS-000187,Synthetic Student 187,SYN-EXP-000187,Section C,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.9191,updated_assignment_02,78.89218212990488,78.4833,81.2
188,SYN-SIS-000188,Synthetic Student 188,SYN-EXP-000188,Section D,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9912,updated_assignment_06,31.747020109298113,32.5139,31.6
189,SYN-SIS-000189,Synthetic Student 189,SYN-EXP-000189,Section A,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9839,updated_assignment_06,35.88831508526154,36.9132,35.46
190,SYN-SIS-000190,Synthetic Student 190,SYN-EXP-000190,Section B,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.9412,observed_readiness_unchanged_absent,23.06091551724138,23.3073,16.94
191,SYN-SIS-000191,Synthetic Student 191,SYN-EXP-000191,Section C,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9345,updated_assignment_04,68.9771391965999,70.9776,70.35
192,SYN-SIS-000192,Synthetic Student 192,SYN-EXP-000192,Section D,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9384,updated_assignment_04,89.8706515110854,88.7735,90.37
193,SYN-SIS-000193,Synthetic Student 193,SYN-EXP-000193,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9055,updated_assignment_08,78.95362383409547,81.0416,79.6
194,SYN-SIS-000194,Synthetic Student 194,SYN-EXP-000194,Section B,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.8475,updated_assignment_02,66.45005668400712,73.8179,66.71
195,SYN-SIS-000195,Synthetic Student 195,SYN-EXP-000195,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.8924,updated_assignment_08,32.183112449723296,31.1916,33.25
196,SYN-SIS-000196,Synthetic Student 196,SYN-EXP-000196,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.8996,observed_readiness_unchanged_absent,23.867159512851064,28.4676,22.12
197,SYN-SIS-000197,Synthetic Student 197,SYN-EXP-000197,Section A,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9123,updated_assignment_06,56.220238382014365,57.2472,57.06
198,SYN-SIS-000198,Synthetic Student 198,SYN-EXP-000198,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9091,updated_assignment_06,39.594895442972685,38.8851,39.85
199,SYN-SIS-000199,Synthetic Student 199,SYN-EXP-000199,Section C,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.9131,updated_assignment_02,87.68004226664685,85.9784,89.15
200,SYN-SIS-000200,Synthetic Student 200,SYN-EXP-000200,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9756,updated_assignment_08,53.05927800236668,56.356,53.24
201,SYN-SIS-000201,Synthetic Student 201,SYN-EXP-000201,Section A,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9221,updated_assignment_06,92.8873249447769,94.3276,93.8
202,SYN-SIS-000202,Synthetic Student 202,SYN-EXP-000202,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9057,updated_assignment_06,36.031247441827155,40.1027,35.69
203,SYN-SIS-000203,Synthetic Student 203,SYN-EXP-000203,Section C,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9942,updated_assignment_04,54.40780024100376,49.5513,55.7
204,SYN-SIS-000204,Synthetic Student 204,SYN-EXP-000204,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9574,updated_assignment_08,51.8658703914832,48.8825,52.46
205,SYN-SIS-000205,Synthetic Student 205,SYN-EXP-000205,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.983,updated_assignment_08,26.17816525231766,25.982,26.9
206,SYN-SIS-000206,Synthetic Student 206,SYN-EXP-000206,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9478,updated_assignment_08,81.9172227968951,86.4305,82.91
207,SYN-SIS-000207,Synthetic Student 207,SYN-EXP-000207,Section C,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9829,updated_assignment_02,57.66397359839477,61.8668,57.67
208,SYN-SIS-000208,Synthetic Student 208,SYN-EXP-000208,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9772,updated_assignment_08,60.67209660594666,61.341,61.45
209,SYN-SIS-000209,Synthetic Student 209,SYN-EXP-000209,Section A,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.944,updated_assignment_04,40.370178461590655,42.3518,40.75
210,SYN-SIS-000210,Synthetic Student 210,SYN-EXP-000210,Section B,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9943,updated_assignment_04,78.93050779791636,82.045,79.89
211,SYN-SIS-000211,Synthetic Student 211,SYN-EXP-000211,Section C,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9436,updated_assignment_04,35.53074283773599,38.2864,35.33
212,SYN-SIS-000212,Synthetic Student 212,SYN-EXP-000212,Section D,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9458,updated_assignment_06,47.11144885853261,50.4328,47.32
213,SYN-SIS-000213,Synthetic Student 213,SYN-EXP-000213,Section A,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9812,updated_assignment_04,43.983251532402505,45.5986,44.67
214,SYN-SIS-000214,Synthetic Student 214,SYN-EXP-000214,Section B,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.9365,updated_assignment_02,40.38916488852556,40.4013,40.98
215,SYN-SIS-000215,Synthetic Student 215,SYN-EXP-000215,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.982,updated_assignment_08,69.58286976344372,68.9114,70.19
216,SYN-SIS-000216,Synthetic Student 216,SYN-EXP-000216,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9682,updated_assignment_08,56.92241705355405,59.0517,57.26
217,SYN-SIS-000217,Synthetic Student 217,SYN-EXP-000217,Section A,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.8654,updated_assignment_02,92.82617841409038,94.895,95.12
218,SYN-SIS-000218,Synthetic Student 218,SYN-EXP-000218,Section B,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.8634,updated_assignment_04,25.676096235634294,24.7317,25.95
219,SYN-SIS-000219,Synthetic Student 219,SYN-EXP-000219,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,at_risk,0.6614,updated_assignment_08,54.09561933228628,53.5972,54.92
220,SYN-SIS-000220,Synthetic Student 220,SYN-EXP-000220,Section D,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.8961,updated_assignment_04,66.57074578537969,68.2596,67.12
221,SYN-SIS-000221,Synthetic Student 221,SYN-EXP-000221,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.974,updated_assignment_08,77.74129071028516,82.3854,79.11
222,SYN-SIS-000222,Synthetic Student 222,SYN-EXP-000222,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9403,updated_assignment_08,37.51850061317755,39.4567,37.35
223,SYN-SIS-000223,Synthetic Student 223,SYN-EXP-000223,Section C,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9187,observed_readiness_unchanged_absent,22.50073727540336,24.5378,22.22
224,SYN-SIS-000224,Synthetic Student 224,SYN-EXP-000224,Section D,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9746,updated_assignment_02,41.066432575802615,38.2792,41.2
225,SYN-SIS-000225,Synthetic Student 225,SYN-EXP-000225,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9671,updated_assignment_08,61.65717183921266,64.2496,61.78
226,SYN-SIS-000226,Synthetic Student 226,SYN-EXP-000226,Section B,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9366,updated_assignment_04,45.229851315960396,40.3339,46.4
227,SYN-SIS-000227,Synthetic Student 227,SYN-EXP-000227,Section C,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9258,updated_assignment_04,98.18897016266668,98.2069,100.0
228,SYN-SIS-000228,Synthetic Student 228,SYN-EXP-000228,Section D,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9931,updated_assignment_04,65.95610262020809,66.6448,66.58
229,SYN-SIS-000229,Synthetic Student 229,SYN-EXP-000229,Section A,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9762,updated_assignment_04,55.304719867400145,55.8517,56.15
230,SYN-SIS-000230,Synthetic Student 230,SYN-EXP-000230,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9943,updated_assignment_06,37.461095623638585,38.796,37.01
231,SYN-SIS-000231,Synthetic Student 231,SYN-EXP-000231,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9807,updated_assignment_08,51.779588285392734,50.2956,53.59
232,SYN-SIS-000232,Synthetic Student 232,SYN-EXP-000232,Section D,2026,26,class_of_2026,2025-2026,0,2025-2026,0,at_risk,0.641,observed_readiness_unchanged_absent,36.38384655172414,34.0808,32.71
233,SYN-SIS-000233,Synthetic Student 233,SYN-EXP-000233,Section A,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.966,updated_assignment_02,81.15826462098693,80.3907,82.38
234,SYN-SIS-000234,Synthetic Student 234,SYN-EXP-000234,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9341,updated_assignment_06,55.34127262205643,54.3841,55.83
235,SYN-SIS-000235,Synthetic Student 235,SYN-EXP-000235,Section C,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9958,updated_assignment_06,53.302967707539906,54.2224,54.24
236,SYN-SIS-000236,Synthetic Student 236,SYN-EXP-000236,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,normal,0.9337,updated_assignment_08,58.3002468968444,55.74,58.25
237,SYN-SIS-000237,Synthetic Student 237,SYN-EXP-000237,Section A,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9268,updated_assignment_06,46.92674436687106,46.9214,47.21
238,SYN-SIS-000238,Synthetic Student 238,SYN-EXP-000238,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.8845,updated_assignment_06,63.92695604988824,63.756,64.16
239,SYN-SIS-000239,Synthetic Student 239,SYN-EXP-000239,Section C,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.9598,updated_assignment_02,58.637790334423315,63.2159,59.13
240,SYN-SIS-000240,Synthetic Student 240,SYN-EXP-000240,Section D,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9944,observed_readiness_unchanged_absent,40.48440317318783,46.5131,40.11
241,SYN-SIS-000241,Synthetic Student 241,SYN-EXP-000241,Section A,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9214,updated_assignment_06,71.19211045793568,78.9129,71.59
242,SYN-SIS-000242,Synthetic Student 242,SYN-EXP-000242,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,high,0.9723,updated_assignment_06,43.639507393191074,40.0477,43.89
243,SYN-SIS-000243,Synthetic Student 243,SYN-EXP-000243,Section C,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.975,updated_assignment_02,84.88970249256836,85.3335,86.63
244,SYN-SIS-000244,Synthetic Student 244,SYN-EXP-000244,Section D,2028,28,class_of_2028,2025-2026,0,2027-2028,2,at_risk,0.7167,observed_readiness_unchanged_absent,39.669769455128254,49.012,39.65
245,SYN-SIS-000245,Synthetic Student 245,SYN-EXP-000245,Section A,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9936,updated_assignment_04,41.06198156401155,41.4959,40.73
246,SYN-SIS-000246,Synthetic Student 246,SYN-EXP-000246,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.981,updated_assignment_08,48.091975828039416,47.6454,48.88
247,SYN-SIS-000247,Synthetic Student 247,SYN-EXP-000247,Section C,2027,27,class_of_2027,2025-2026,0,2026-2027,1,at_risk,0.7447,updated_assignment_04,47.13297831452448,51.2035,46.86
248,SYN-SIS-000248,Synthetic Student 248,SYN-EXP-000248,Section D,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.9891,updated_assignment_02,42.292889175089186,41.2022,42.81
249,SYN-SIS-000249,Synthetic Student 249,SYN-EXP-000249,Section A,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9469,updated_assignment_06,42.84018585645495,43.9308,43.34
250,SYN-SIS-000250,Synthetic Student 250,SYN-EXP-000250,Section B,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.888,updated_assignment_02,67.72351239149822,64.9565,69.57
251,SYN-SIS-000251,Synthetic Student 251,SYN-EXP-000251,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9876,updated_assignment_08,71.35592707754081,76.316,72.98
252,SYN-SIS-000252,Synthetic Student 252,SYN-EXP-000252,Section D,2026,26,class_of_2026,2025-2026,0,2025-2026,0,high,0.992,updated_assignment_02,84.03257927615934,86.0725,86.05
253,SYN-SIS-000253,Synthetic Student 253,SYN-EXP-000253,Section A,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9442,updated_assignment_06,61.33805429623831,60.9142,62.15
254,SYN-SIS-000254,Synthetic Student 254,SYN-EXP-000254,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9338,updated_assignment_06,48.95301845304249,51.7937,49.0
255,SYN-SIS-000255,Synthetic Student 255,SYN-EXP-000255,Section C,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.9396,updated_assignment_04,98.76923310683176,99.2798,100.0
256,SYN-SIS-000256,Synthetic Student 256,SYN-EXP-000256,Section D,2026,26,class_of_2026,2025-2026,0,2025-2026,0,normal,0.9129,updated_assignment_02,80.76259399078478,82.4812,81.88
257,SYN-SIS-000257,Synthetic Student 257,SYN-EXP-000257,Section A,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.972,updated_assignment_06,49.64922360111906,53.3695,50.2
258,SYN-SIS-000258,Synthetic Student 258,SYN-EXP-000258,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.8984,updated_assignment_06,89.45364799605424,93.2209,89.58
259,SYN-SIS-000259,Synthetic Student 259,SYN-EXP-000259,Section C,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9348,updated_assignment_06,81.87044776137365,81.1807,82.54
260,SYN-SIS-000260,Synthetic Student 260,SYN-EXP-000260,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9762,updated_assignment_08,98.15469487380803,100.0,100.0
261,SYN-SIS-000261,Synthetic Student 261,SYN-EXP-000261,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,at_risk,0.6882,observed_readiness_unchanged_absent,50.06466791485903,50.8815,50.38
262,SYN-SIS-000262,Synthetic Student 262,SYN-EXP-000262,Section B,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9866,updated_assignment_04,74.81494408703549,76.9229,76.43
263,SYN-SIS-000263,Synthetic Student 263,SYN-EXP-000263,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9905,updated_assignment_08,37.120597955585815,36.8946,37.58
264,SYN-SIS-000264,Synthetic Student 264,SYN-EXP-000264,Section D,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.944,updated_assignment_04,24.614038707479043,27.5694,24.4
265,SYN-SIS-000265,Synthetic Student 265,SYN-EXP-000265,Section A,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9886,updated_assignment_08,35.911229325898475,35.6768,36.16
266,SYN-SIS-000266,Synthetic Student 266,SYN-EXP-000266,Section B,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.9599,observed_readiness_unchanged_absent,56.55706394672548,59.83,56.44
267,SYN-SIS-000267,Synthetic Student 267,SYN-EXP-000267,Section C,2028,28,class_of_2028,2025-2026,0,2027-2028,2,normal,0.888,updated_assignment_06,37.040042461439654,36.0355,37.03
268,SYN-SIS-000268,Synthetic Student 268,SYN-EXP-000268,Section D,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9847,updated_assignment_08,36.08713050532921,31.3851,36.41
269,SYN-SIS-000269,Synthetic Student 269,SYN-EXP-000269,Section A,2026,26,class_of_2026,2025-2026,0,2025-2026,0,at_risk,0.6811,observed_readiness_unchanged_absent,42.128674137931036,44.9243,39.51
270,SYN-SIS-000270,Synthetic Student 270,SYN-EXP-000270,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9935,updated_assignment_08,63.854551829423194,69.9232,63.99
271,SYN-SIS-000271,Synthetic Student 271,SYN-EXP-000271,Section C,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9946,updated_assignment_08,83.345181615747,84.074,83.42
272,SYN-SIS-000272,Synthetic Student 272,SYN-EXP-000272,Section D,2027,27,class_of_2027,2025-2026,0,2026-2027,1,normal,0.8702,observed_readiness_unchanged_absent,70.55276050103787,79.1416,71.11
273,SYN-SIS-000273,Synthetic Student 273,SYN-EXP-000273,Section A,2028,28,class_of_2028,2025-2026,0,2027-2028,2,at_risk,0.6879,observed_readiness_unchanged_absent,69.69682797147102,73.7559,69.97
274,SYN-SIS-000274,Synthetic Student 274,SYN-EXP-000274,Section B,2029,29,class_of_2029,2025-2026,0,2028-2029,3,high,0.9864,updated_assignment_08,46.73833158798148,47.01,47.55
275,SYN-SIS-000275,Synthetic Student 275,SYN-EXP-000275,Section C,2027,27,class_of_2027,2025-2026,0,2026-2027,1,high,0.9976,updated_assignment_04,62.20316481720163,59.5043,62.76
