school_year,school_year_offset,teacher_id,teacher_label,section_id,section_label,course_id,course_name,course_track,class_size_band,target_enrollment,max_capacity,section_growth_effect,teacher_growth_effect,enrolled_students,boy_avg_all_students,eoy_avg_all_students,avg_observed_growth_delta,eoy_present_rate
2025-2026,0,TCH-001,Teacher 01,Y00-SEC-007,Geometry - Synthetic Section 01-07,MATH-GEOM,Geometry,regular,small,12,12,0.3,-0.25,12,29.49,37.37,7.88,1.0
2031-2032,6,TCH-003,Teacher 03,Y06-SEC-017,Precalculus - Synthetic Section 07-17,MATH-PRECALC,Precalculus,regular,small,11,12,-0.1,0.2,11,38.52,44.47,4.78,0.9091
2030-2031,5,TCH-005,Teacher 05,Y05-SEC-019,AP Calculus AB - Synthetic Section 06-19,MATH-AP-CALC-AB,AP Calculus AB,ap,small,12,12,0.1,0.05,12,37.6,46.69,9.09,1.0
2025-2026,0,TCH-005,Teacher 05,Y00-SEC-024,AP Calculus AB - Synthetic Section 01-24,MATH-AP-CALC-AB,AP Calculus AB,ap,small,12,12,-0.1,0.05,12,51.05,51.42,6.63,0.8333
2026-2027,1,TCH-002,Teacher 02,Y01-SEC-006,Algebra 2 - Synthetic Section 02-06,MATH-ALG2,Algebra 2,regular,small,11,12,0.2,0.1,11,27.95,36.93,9.85,0.9091
2026-2027,1,TCH-003,Teacher 03,Y01-SEC-018,Precalculus - Synthetic Section 02-18,MATH-PRECALC,Precalculus,regular,small,12,12,0.0,0.2,12,48.16,51.23,5.0,0.9167
2026-2027,1,TCH-005,Teacher 05,Y01-SEC-023,AP Calculus BC - Synthetic Section 02-23,MATH-AP-CALC-BC,AP Calculus BC,ap,standard,13,18,-0.2,0.05,13,59.68,57.71,1.93,0.8462
2026-2027,1,TCH-004,Teacher 04,Y01-SEC-015,AP Precalculus - Synthetic Section 02-15,MATH-AP-PRECALC,AP Precalculus,ap,small,11,12,-0.3,-0.1,11,52.22,46.63,5.77,0.8182
2027-2028,2,TCH-005,Teacher 05,Y02-SEC-018,AP Calculus AB - Synthetic Section 03-18,MATH-AP-CALC-AB,AP Calculus AB,ap,small,12,12,0.0,0.05,12,45.49,47.26,5.5,0.9167
2027-2028,2,TCH-003,Teacher 03,Y02-SEC-014,Precalculus - Synthetic Section 03-14,MATH-PRECALC,Precalculus,regular,standard,14,18,0.3,0.2,14,36.33,46.72,6.48,1.0
2027-2028,2,TCH-003,Teacher 03,Y02-SEC-015,Precalculus - Synthetic Section 03-15,MATH-PRECALC,Precalculus,regular,standard,13,18,-0.3,0.2,13,28.32,35.89,6.14,0.9231
2028-2029,3,TCH-002,Teacher 02,Y03-SEC-007,Algebra 2 - Synthetic Section 04-07,MATH-ALG2,Algebra 2,regular,small,12,12,0.3,0.1,12,29.43,36.69,8.13,0.9167
2029-2030,4,TCH-003,Teacher 03,Y04-SEC-019,Precalculus - Synthetic Section 05-19,MATH-PRECALC,Precalculus,regular,small,11,12,0.1,0.2,11,37.71,48.22,5.45,1.0
2029-2030,4,TCH-003,Teacher 03,Y04-SEC-013,Honors Algebra 2 - Synthetic Section 05-13,MATH-ALG2-H,Honors Algebra 2,honors,small,11,12,0.2,0.2,11,49.06,54.43,5.5,0.9091
2029-2030,4,TCH-002,Teacher 02,Y04-SEC-003,Geometry - Synthetic Section 05-03,MATH-GEOM,Geometry,regular,standard,13,18,-0.1,0.1,13,41.83,45.86,8.73,0.9231
2029-2030,4,TCH-001,Teacher 01,Y04-SEC-005,Geometry - Synthetic Section 05-05,MATH-GEOM,Geometry,regular,standard,13,18,0.1,-0.25,13,41.75,49.34,6.09,0.9231
2030-2031,5,TCH-005,Teacher 05,Y05-SEC-021,AP Calculus AB - Synthetic Section 06-21,MATH-AP-CALC-AB,AP Calculus AB,ap,small,11,12,0.3,0.05,11,51.71,53.92,6.6,0.9091
2031-2032,6,TCH-004,Teacher 04,Y06-SEC-024,Beyond Core Math Sequence - Synthetic Section 07-24,MATH-BEYOND-CORE,Beyond Core Math Sequence,beyond_core,micro,4,6,-0.1,-0.1,4,45.94,62.52,-0.11,1.0
2031-2032,6,TCH-005,Teacher 05,Y06-SEC-018,AP Calculus AB - Synthetic Section 07-18,MATH-AP-CALC-AB,AP Calculus AB,ap,standard,14,18,0.0,0.05,14,45.87,55.95,6.69,1.0
2031-2032,6,TCH-003,Teacher 03,Y06-SEC-014,Precalculus - Synthetic Section 07-14,MATH-PRECALC,Precalculus,regular,small,12,12,0.3,0.2,12,40.3,40.09,4.81,0.8333
2031-2032,6,TCH-004,Teacher 04,Y06-SEC-011,AP Precalculus - Synthetic Section 07-11,MATH-AP-PRECALC,AP Precalculus,ap,small,12,12,0.0,-0.1,12,57.48,74.35,5.67,1.0
2031-2032,6,TCH-002,Teacher 02,Y06-SEC-004,Geometry - Synthetic Section 07-04,MATH-GEOM,Geometry,regular,small,12,12,0.0,0.1,12,34.55,41.46,4.01,0.9167
2031-2032,6,TCH-003,Teacher 03,Y06-SEC-009,Honors Algebra 2 - Synthetic Section 07-09,MATH-ALG2-H,Honors Algebra 2,honors,standard,14,18,-0.2,0.2,14,65.05,70.62,5.57,1.0
2025-2026,0,TCH-003,Teacher 03,Y00-SEC-012,Honors Algebra 2 - Synthetic Section 01-12,MATH-ALG2-H,Honors Algebra 2,honors,small,11,12,0.1,0.2,11,62.77,58.97,6.15,0.8182
2027-2028,2,TCH-002,Teacher 02,Y02-SEC-008,Algebra 2 - Synthetic Section 03-08,MATH-ALG2,Algebra 2,regular,standard,13,18,-0.3,0.1,13,33.54,37.58,4.04,1.0
2029-2030,4,TCH-002,Teacher 02,Y04-SEC-006,Geometry - Synthetic Section 05-06,MATH-GEOM,Geometry,regular,standard,13,18,0.2,0.1,13,30.34,37.22,6.32,0.8462
2031-2032,6,TCH-002,Teacher 02,Y06-SEC-007,Algebra 2 - Synthetic Section 07-07,MATH-ALG2,Algebra 2,regular,small,12,12,0.3,0.1,12,38.64,44.42,5.79,1.0
2025-2026,0,TCH-004,Teacher 04,Y00-SEC-018,AP Precalculus - Synthetic Section 01-18,MATH-AP-PRECALC,AP Precalculus,ap,small,9,12,0.0,-0.1,9,39.09,49.3,5.6,1.0
2025-2026,0,TCH-003,Teacher 03,Y00-SEC-015,Honors Algebra 2 - Synthetic Section 01-15,MATH-ALG2-H,Honors Algebra 2,honors,small,10,12,-0.3,0.2,10,49.51,56.43,6.92,1.0
2026-2027,1,TCH-005,Teacher 05,Y01-SEC-020,AP Calculus AB - Synthetic Section 02-20,MATH-AP-CALC-AB,AP Calculus AB,ap,standard,14,18,0.2,0.05,14,51.82,57.63,5.81,1.0
2026-2027,1,TCH-002,Teacher 02,Y01-SEC-004,Geometry - Synthetic Section 02-04,MATH-GEOM,Geometry,regular,standard,13,18,0.0,0.1,13,39.03,43.25,8.05,0.8462
2027-2028,2,TCH-002,Teacher 02,Y02-SEC-004,Geometry - Synthetic Section 03-04,MATH-GEOM,Geometry,regular,small,12,12,0.0,0.1,12,35.13,45.58,6.62,1.0
2028-2029,3,TCH-003,Teacher 03,Y03-SEC-018,Precalculus - Synthetic Section 04-18,MATH-PRECALC,Precalculus,regular,small,12,12,0.0,0.2,12,32.3,41.65,6.11,1.0
2028-2029,3,TCH-002,Teacher 02,Y03-SEC-009,Algebra 2 - Synthetic Section 04-09,MATH-ALG2,Algebra 2,regular,small,11,12,-0.2,0.1,11,41.59,46.81,5.22,1.0
2028-2029,3,TCH-002,Teacher 02,Y03-SEC-003,Geometry - Synthetic Section 04-03,MATH-GEOM,Geometry,regular,standard,14,18,-0.1,0.1,14,42.56,53.22,7.01,1.0
2029-2030,4,TCH-002,Teacher 02,Y04-SEC-010,Algebra 2 - Synthetic Section 05-10,MATH-ALG2,Algebra 2,regular,standard,13,18,-0.1,0.1,13,32.04,44.74,6.17,1.0
2029-2030,4,TCH-002,Teacher 02,Y04-SEC-004,Geometry - Synthetic Section 05-04,MATH-GEOM,Geometry,regular,standard,13,18,0.0,0.1,13,43.69,49.97,6.28,1.0
2030-2031,5,TCH-005,Teacher 05,Y05-SEC-024,AP Calculus BC - Synthetic Section 06-24,MATH-AP-CALC-BC,AP Calculus BC,ap,small,10,12,-0.1,0.05,10,58.87,62.13,3.25,1.0
2030-2031,5,TCH-004,Teacher 04,Y05-SEC-014,AP Precalculus - Synthetic Section 06-14,MATH-AP-PRECALC,AP Precalculus,ap,small,12,12,0.3,-0.1,12,47.76,57.83,5.67,1.0
2031-2032,6,TCH-005,Teacher 05,Y06-SEC-019,AP Calculus AB - Synthetic Section 07-19,MATH-AP-CALC-AB,AP Calculus AB,ap,standard,14,18,0.1,0.05,14,47.71,51.61,2.41,0.9286
2031-2032,6,TCH-005,Teacher 05,Y06-SEC-022,AP Calculus BC - Synthetic Section 07-22,MATH-AP-CALC-BC,AP Calculus BC,ap,small,12,12,-0.3,0.05,12,63.88,55.4,3.1,0.8333
2025-2026,0,TCH-005,Teacher 05,Y00-SEC-026,AP Calculus BC - Synthetic Section 01-26,MATH-AP-CALC-BC,AP Calculus BC,ap,small,11,12,0.1,0.05,11,62.6,64.05,5.55,0.9091
2028-2029,3,TCH-002,Teacher 02,Y03-SEC-008,Algebra 2 - Synthetic Section 04-08,MATH-ALG2,Algebra 2,regular,small,11,12,-0.3,0.1,11,31.04,38.51,6.96,0.9091
2029-2030,4,TCH-004,Teacher 04,Y04-SEC-018,Precalculus - Synthetic Section 05-18,MATH-PRECALC,Precalculus,regular,small,11,12,0.0,-0.1,11,28.26,41.36,8.73,0.9091
2029-2030,4,TCH-003,Teacher 03,Y04-SEC-017,Precalculus - Synthetic Section 05-17,MATH-PRECALC,Precalculus,regular,small,12,12,-0.1,0.2,12,37.83,42.06,8.77,0.9167
2026-2027,1,TCH-005,Teacher 05,Y01-SEC-024,Beyond Core Math Sequence - Synthetic Section 02-24,MATH-BEYOND-CORE,Beyond Core Math Sequence,beyond_core,micro,4,6,-0.1,0.05,4,67.26,70.36,3.1,1.0
