assessment_score_fact_id,student_dim_id,course_dim_id,section_dim_id,teacher_dim_id,assignment_dim_id,school_year,school_year_offset,sis_user_id,course_id,section_id,teacher_id,assignment_label,sequence_index,assessment_window,expected_transition_type,actual_transition_type,generation_mode,population_status,score,present_student_score,potential_score,posterior_readiness_after,growth_delta,latent_transition_type,latent_readiness_before,latent_readiness_after,latent_transition_delta,is_populated,is_present,is_nonparticipation_zero
1096,320,2,29,6,4,2026-2027,1,SYN-SIS-000320,MATH-GEOM,Y01-SEC-003,TCH-001,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,29.12,29.12,33.18,29.6731,1.27,school_year_growth,28.22,33.179,4.959,true,true,false
1097,321,1,27,6,3,2026-2027,1,SYN-SIS-000321,MATH-ALG1,Y01-SEC-001,TCH-001,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,34.65,34.65,33.69,36.256,,initialize_latent_readiness,,33.69,,true,true,false
1098,321,1,27,6,4,2026-2027,1,SYN-SIS-000321,MATH-ALG1,Y01-SEC-001,TCH-001,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,35.58,35.58,38.78,35.8884,0.93,school_year_growth,33.69,38.7845,5.0945,true,true,false
1099,322,2,30,7,3,2026-2027,1,SYN-SIS-000322,MATH-GEOM,Y01-SEC-004,TCH-002,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,30.74,30.74,31.36,32.9528,,initialize_latent_readiness,,31.36,,true,true,false
1100,322,2,30,7,4,2026-2027,1,SYN-SIS-000322,MATH-GEOM,Y01-SEC-004,TCH-002,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,41.48,41.48,39.71,40.4372,10.74,school_year_growth,31.36,39.7102,8.3502,true,true,false
1101,323,4,36,8,3,2026-2027,1,SYN-SIS-000323,MATH-ALG2-H,Y01-SEC-010,TCH-003,Assignment 03,3,beginning_of_year,summer_atrophy,absent_no_update,absent_no_update,populated,0.0,,,,,initialize_latent_readiness,,23.09,,true,false,true
1102,323,4,36,8,4,2026-2027,1,SYN-SIS-000323,MATH-ALG2-H,Y01-SEC-010,TCH-003,Assignment 04,4,end_of_year,school_year_growth,initialize_readiness,first_present_evidence_from_latent,populated,32.02,32.02,32.82,34.6548,,school_year_growth,23.09,32.8218,9.7318,true,true,false
1103,324,4,38,8,3,2026-2027,1,SYN-SIS-000324,MATH-ALG2-H,Y01-SEC-012,TCH-003,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,24.67,24.67,24.56,28.4453,,initialize_latent_readiness,,24.56,,true,true,false
1104,324,4,38,8,4,2026-2027,1,SYN-SIS-000324,MATH-ALG2-H,Y01-SEC-012,TCH-003,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,34.67,34.67,35.17,34.1825,10.0,school_year_growth,24.56,35.1725,10.6125,true,true,false
1105,325,2,31,6,3,2026-2027,1,SYN-SIS-000325,MATH-GEOM,Y01-SEC-005,TCH-001,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,34.1,34.1,28.97,35.7914,,initialize_latent_readiness,,28.97,,true,true,false
1106,325,2,31,6,4,2026-2027,1,SYN-SIS-000325,MATH-GEOM,Y01-SEC-005,TCH-001,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,42.12,42.12,38.12,41.3523,8.02,school_year_growth,28.97,38.1157,9.1457,true,true,false
1107,326,2,28,7,3,2026-2027,1,SYN-SIS-000326,MATH-GEOM,Y01-SEC-002,TCH-002,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,61.88,61.88,61.53,59.2607,,initialize_latent_readiness,,61.53,,true,true,false
1108,326,2,28,7,4,2026-2027,1,SYN-SIS-000326,MATH-GEOM,Y01-SEC-002,TCH-002,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,67.23,67.23,68.89,65.6615,5.35,school_year_growth,61.53,68.8937,7.3637,true,true,false
1109,327,1,27,6,3,2026-2027,1,SYN-SIS-000327,MATH-ALG1,Y01-SEC-001,TCH-001,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,40.29,40.29,40.14,41.0209,,initialize_latent_readiness,,40.14,,true,true,false
1110,327,1,27,6,4,2026-2027,1,SYN-SIS-000327,MATH-ALG1,Y01-SEC-001,TCH-001,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,46.96,46.96,47.9,46.131,6.67,school_year_growth,40.14,47.8959,7.7559,true,true,false
1111,328,2,30,7,3,2026-2027,1,SYN-SIS-000328,MATH-GEOM,Y01-SEC-004,TCH-002,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,67.97,67.97,68.67,64.4057,,initialize_latent_readiness,,68.67,,true,true,false
1112,328,2,30,7,4,2026-2027,1,SYN-SIS-000328,MATH-GEOM,Y01-SEC-004,TCH-002,Assignment 04,4,end_of_year,school_year_growth,absent_no_update,absent_no_update,populated,0.0,,,,,school_year_growth,68.67,77.6581,8.9881,true,false,true
1113,329,2,31,6,3,2026-2027,1,SYN-SIS-000329,MATH-GEOM,Y01-SEC-005,TCH-001,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,41.86,41.86,39.93,42.3472,,initialize_latent_readiness,,39.93,,true,true,false
1114,329,2,31,6,4,2026-2027,1,SYN-SIS-000329,MATH-GEOM,Y01-SEC-005,TCH-001,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,43.4,43.4,44.51,43.2984,1.54,school_year_growth,39.93,44.5122,4.5822,true,true,false
1115,330,2,31,6,3,2026-2027,1,SYN-SIS-000330,MATH-GEOM,Y01-SEC-005,TCH-001,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,38.69,38.69,42.15,39.6691,,initialize_latent_readiness,,42.15,,true,true,false
1116,330,2,31,6,4,2026-2027,1,SYN-SIS-000330,MATH-GEOM,Y01-SEC-005,TCH-001,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,44.4,44.4,48.42,43.79,5.71,school_year_growth,42.15,48.4201,6.2701,true,true,false
1117,331,2,29,6,3,2026-2027,1,SYN-SIS-000331,MATH-GEOM,Y01-SEC-003,TCH-001,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,39.48,39.48,41.26,40.3366,,initialize_latent_readiness,,41.26,,true,true,false
1118,331,2,29,6,4,2026-2027,1,SYN-SIS-000331,MATH-GEOM,Y01-SEC-003,TCH-001,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,42.35,42.35,47.47,42.1461,2.87,school_year_growth,41.26,47.4652,6.2052,true,true,false
1119,332,2,30,7,3,2026-2027,1,SYN-SIS-000332,MATH-GEOM,Y01-SEC-004,TCH-002,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,46.14,46.14,48.24,45.9631,,initialize_latent_readiness,,48.24,,true,true,false
1120,332,2,30,7,4,2026-2027,1,SYN-SIS-000332,MATH-GEOM,Y01-SEC-004,TCH-002,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,46.82,46.82,49.05,46.6646,0.68,school_year_growth,48.24,49.0517,0.8117,true,true,false
1121,333,1,27,6,3,2026-2027,1,SYN-SIS-000333,MATH-ALG1,Y01-SEC-001,TCH-001,Assignment 03,3,beginning_of_year,summer_atrophy,absent_no_update,absent_no_update,populated,0.0,,,,,initialize_latent_readiness,,34.47,,true,false,true
1122,333,1,27,6,4,2026-2027,1,SYN-SIS-000333,MATH-ALG1,Y01-SEC-001,TCH-001,Assignment 04,4,end_of_year,school_year_growth,initialize_readiness,first_present_evidence_from_latent,populated,41.34,41.34,40.12,41.9079,,school_year_growth,34.47,40.117,5.647,true,true,false
1123,334,1,27,6,3,2026-2027,1,SYN-SIS-000334,MATH-ALG1,Y01-SEC-001,TCH-001,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,38.73,38.73,37.87,39.7029,,initialize_latent_readiness,,37.87,,true,true,false
1124,334,1,27,6,4,2026-2027,1,SYN-SIS-000334,MATH-ALG1,Y01-SEC-001,TCH-001,Assignment 04,4,end_of_year,school_year_growth,absent_no_update,absent_no_update,populated,0.0,,,,,school_year_growth,37.87,49.9593,12.0893,true,false,true
1125,335,2,30,7,3,2026-2027,1,SYN-SIS-000335,MATH-GEOM,Y01-SEC-004,TCH-002,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,23.39,23.39,23.0,26.7433,,initialize_latent_readiness,,23.0,,true,true,false
1126,335,2,30,7,4,2026-2027,1,SYN-SIS-000335,MATH-GEOM,Y01-SEC-004,TCH-002,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,26.15,26.15,28.9,26.667,2.76,school_year_growth,23.0,28.9045,5.9045,true,true,false
1127,336,4,38,8,3,2026-2027,1,SYN-SIS-000336,MATH-ALG2-H,Y01-SEC-012,TCH-003,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,53.32,53.32,53.46,52.6497,,initialize_latent_readiness,,53.46,,true,true,false
1128,336,4,38,8,4,2026-2027,1,SYN-SIS-000336,MATH-ALG2-H,Y01-SEC-012,TCH-003,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,63.3,63.3,62.24,61.5624,9.98,school_year_growth,53.46,62.2409,8.7809,true,true,false
1129,337,5,42,9,3,2026-2027,1,SYN-SIS-000337,MATH-AP-PRECALC,Y01-SEC-016,TCH-004,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,30.24,30.24,34.33,33.4614,,initialize_latent_readiness,,34.33,,true,true,false
1130,337,5,42,9,4,2026-2027,1,SYN-SIS-000337,MATH-AP-PRECALC,Y01-SEC-016,TCH-004,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,43.18,43.18,39.84,42.0802,12.94,school_year_growth,34.33,39.8353,5.5053,true,true,false
1131,338,1,27,6,3,2026-2027,1,SYN-SIS-000338,MATH-ALG1,Y01-SEC-001,TCH-001,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,61.4,61.4,57.63,58.8552,,initialize_latent_readiness,,57.63,,true,true,false
1132,338,1,27,6,4,2026-2027,1,SYN-SIS-000338,MATH-ALG1,Y01-SEC-001,TCH-001,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,54.22,54.22,57.46,54.6168,-7.18,school_year_growth,57.63,57.4559,-0.1741,true,true,false
1133,339,2,28,7,3,2026-2027,1,SYN-SIS-000339,MATH-GEOM,Y01-SEC-002,TCH-002,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,17.97,17.97,17.15,22.1643,,initialize_latent_readiness,,17.15,,true,true,false
1134,339,2,28,7,4,2026-2027,1,SYN-SIS-000339,MATH-GEOM,Y01-SEC-002,TCH-002,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,23.2,23.2,27.6,23.5708,5.23,school_year_growth,17.15,27.5978,10.4478,true,true,false
1135,340,4,36,8,3,2026-2027,1,SYN-SIS-000340,MATH-ALG2-H,Y01-SEC-010,TCH-003,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,69.62,69.62,67.74,66.4203,,initialize_latent_readiness,,67.74,,true,true,false
1136,340,4,36,8,4,2026-2027,1,SYN-SIS-000340,MATH-ALG2-H,Y01-SEC-010,TCH-003,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,70.2,70.2,68.1,69.208,0.58,school_year_growth,67.74,68.1047,0.3647,true,true,false
1137,341,2,28,7,3,2026-2027,1,SYN-SIS-000341,MATH-GEOM,Y01-SEC-002,TCH-002,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,38.28,38.28,38.03,39.3228,,initialize_latent_readiness,,38.03,,true,true,false
1138,341,2,28,7,4,2026-2027,1,SYN-SIS-000341,MATH-GEOM,Y01-SEC-002,TCH-002,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,43.59,43.59,46.22,43.06,5.31,school_year_growth,38.03,46.2169,8.1869,true,true,false
1139,342,4,37,8,3,2026-2027,1,SYN-SIS-000342,MATH-ALG2-H,Y01-SEC-011,TCH-003,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,50.97,50.97,51.2,50.6643,,initialize_latent_readiness,,51.2,,true,true,false
1140,342,4,37,8,4,2026-2027,1,SYN-SIS-000342,MATH-ALG2-H,Y01-SEC-011,TCH-003,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,58.51,58.51,58.47,57.2538,7.54,school_year_growth,51.2,58.473,7.273,true,true,false
1141,343,1,27,6,3,2026-2027,1,SYN-SIS-000343,MATH-ALG1,Y01-SEC-001,TCH-001,Assignment 03,3,beginning_of_year,summer_atrophy,absent_no_update,absent_no_update,populated,0.0,,,,,initialize_latent_readiness,,60.99,,true,false,true
1142,343,1,27,6,4,2026-2027,1,SYN-SIS-000343,MATH-ALG1,Y01-SEC-001,TCH-001,Assignment 04,4,end_of_year,school_year_growth,initialize_readiness,first_present_evidence_from_latent,populated,63.66,63.66,62.46,60.7645,,school_year_growth,60.99,62.4568,1.4668,true,true,false
1143,344,2,31,6,3,2026-2027,1,SYN-SIS-000344,MATH-GEOM,Y01-SEC-005,TCH-001,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,14.41,14.41,18.66,19.1567,,initialize_latent_readiness,,18.66,,true,true,false
1144,344,2,31,6,4,2026-2027,1,SYN-SIS-000344,MATH-GEOM,Y01-SEC-005,TCH-001,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,25.96,25.96,24.48,25.5058,11.55,school_year_growth,18.66,24.4833,5.8233,true,true,false
1145,345,2,29,6,3,2026-2027,1,SYN-SIS-000345,MATH-GEOM,Y01-SEC-003,TCH-001,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,12.63,12.63,13.53,17.6529,,initialize_latent_readiness,,13.53,,true,true,false
1146,345,2,29,6,4,2026-2027,1,SYN-SIS-000345,MATH-GEOM,Y01-SEC-003,TCH-001,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,22.75,22.75,24.86,22.5956,10.12,school_year_growth,13.53,24.8632,11.3332,true,true,false
1147,346,2,30,7,3,2026-2027,1,SYN-SIS-000346,MATH-GEOM,Y01-SEC-004,TCH-002,Assignment 03,3,beginning_of_year,summer_atrophy,initialize_readiness,first_present_evidence_from_latent,populated,6.28,6.28,8.1,12.2883,,initialize_latent_readiness,,8.1,,true,true,false
1148,346,2,30,7,4,2026-2027,1,SYN-SIS-000346,MATH-GEOM,Y01-SEC-004,TCH-002,Assignment 04,4,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,22.21,22.21,18.56,21.4318,15.93,school_year_growth,8.1,18.5567,10.4567,true,true,false
1149,1,7,71,14,5,2027-2028,2,SYN-SIS-000001,MATH-AP-CALC-AB,Y02-SEC-021,TCH-004,Assignment 05,5,beginning_of_year,summer_atrophy,absent_no_update,absent_no_update,populated,0.0,,,,,summer_atrophy,51.1709,48.4486,-2.7223,true,false,true
1150,1,7,71,14,6,2027-2028,2,SYN-SIS-000001,MATH-AP-CALC-AB,Y02-SEC-021,TCH-004,Assignment 06,6,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,55.14,55.14,52.64,54.9101,-0.15,school_year_growth,48.4486,52.642,4.1934,true,true,false
1151,2,7,69,15,5,2027-2028,2,SYN-SIS-000002,MATH-AP-CALC-AB,Y02-SEC-019,TCH-005,Assignment 05,5,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,56.41,56.41,56.18,57.1041,-6.42,summer_atrophy,60.3102,56.1805,-4.1297,true,true,false
1152,2,7,69,15,6,2027-2028,2,SYN-SIS-000002,MATH-AP-CALC-AB,Y02-SEC-019,TCH-005,Assignment 06,6,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,60.29,60.29,60.82,59.7789,3.88,school_year_growth,56.1805,60.8233,4.6428,true,true,false
1153,11,8,72,15,5,2027-2028,2,SYN-SIS-000011,MATH-AP-CALC-BC,Y02-SEC-022,TCH-005,Assignment 05,5,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,49.71,49.71,44.43,49.4274,2.72,summer_atrophy,47.1936,44.4271,-2.7665,true,true,false
1154,11,8,72,15,6,2027-2028,2,SYN-SIS-000011,MATH-AP-CALC-BC,Y02-SEC-022,TCH-005,Assignment 06,6,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,54.86,54.86,49.81,54.1372,5.15,school_year_growth,44.4271,49.811,5.3839,true,true,false
1155,12,6,64,13,5,2027-2028,2,SYN-SIS-000012,MATH-PRECALC,Y02-SEC-014,TCH-003,Assignment 05,5,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,48.62,48.62,52.41,49.2207,-4.84,summer_atrophy,55.1319,52.4068,-2.7251,true,true,false
1156,12,6,64,13,6,2027-2028,2,SYN-SIS-000012,MATH-PRECALC,Y02-SEC-014,TCH-003,Assignment 06,6,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,59.91,59.91,56.31,58.2367,11.29,school_year_growth,52.4068,56.3118,3.905,true,true,false
1157,13,7,68,15,5,2027-2028,2,SYN-SIS-000013,MATH-AP-CALC-AB,Y02-SEC-018,TCH-005,Assignment 05,5,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,71.01,71.01,72.53,71.0303,-3.19,summer_atrophy,73.1351,72.5331,-0.602,true,true,false
1158,13,7,68,15,6,2027-2028,2,SYN-SIS-000013,MATH-AP-CALC-AB,Y02-SEC-018,TCH-005,Assignment 06,6,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,86.5,86.5,84.68,83.7587,15.49,school_year_growth,72.5331,84.6849,12.1518,true,true,false
1159,14,7,70,15,5,2027-2028,2,SYN-SIS-000014,MATH-AP-CALC-AB,Y02-SEC-020,TCH-005,Assignment 05,5,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,59.23,59.23,53.26,58.7553,2.45,summer_atrophy,54.2837,53.2643,-1.0194,true,true,false
1160,14,7,70,15,6,2027-2028,2,SYN-SIS-000014,MATH-AP-CALC-AB,Y02-SEC-020,TCH-005,Assignment 06,6,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,54.23,54.23,55.05,54.8771,-5.0,school_year_growth,53.2643,55.0548,1.7905,true,true,false
1161,16,8,73,15,5,2027-2028,2,SYN-SIS-000016,MATH-AP-CALC-BC,Y02-SEC-023,TCH-005,Assignment 05,5,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,84.41,84.41,80.72,83.5737,-0.55,summer_atrophy,81.636,80.7156,-0.9204,true,true,false
1162,16,8,73,15,6,2027-2028,2,SYN-SIS-000016,MATH-AP-CALC-BC,Y02-SEC-023,TCH-005,Assignment 06,6,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,84.22,84.22,81.58,83.4451,-0.19,school_year_growth,80.7156,81.5762,0.8606,true,true,false
1163,17,3,58,12,5,2027-2028,2,SYN-SIS-000017,MATH-ALG2,Y02-SEC-008,TCH-002,Assignment 05,5,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,35.14,35.14,37.17,36.2478,-7.43,summer_atrophy,39.5017,37.1717,-2.33,true,true,false
1164,17,3,58,12,6,2027-2028,2,SYN-SIS-000017,MATH-ALG2,Y02-SEC-008,TCH-002,Assignment 06,6,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,39.56,39.56,41.0,39.3333,4.42,school_year_growth,37.1717,41.0011,3.8294,true,true,false
1165,18,5,62,14,5,2027-2028,2,SYN-SIS-000018,MATH-AP-PRECALC,Y02-SEC-012,TCH-004,Assignment 05,5,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,89.69,89.69,90.02,89.89,-9.88,summer_atrophy,90.7477,90.0229,-0.7248,true,true,false
1166,18,5,62,14,6,2027-2028,2,SYN-SIS-000018,MATH-AP-PRECALC,Y02-SEC-012,TCH-004,Assignment 06,6,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,90.71,90.71,90.42,89.8029,1.02,school_year_growth,90.0229,90.423,0.4001,true,true,false
1167,19,6,66,14,5,2027-2028,2,SYN-SIS-000019,MATH-PRECALC,Y02-SEC-016,TCH-004,Assignment 05,5,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,33.6,33.6,36.44,35.1235,-9.5,summer_atrophy,39.2014,36.4383,-2.7631,true,true,false
1168,19,6,66,14,6,2027-2028,2,SYN-SIS-000019,MATH-PRECALC,Y02-SEC-016,TCH-004,Assignment 06,6,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,44.31,44.31,45.35,43.198,10.71,school_year_growth,36.4383,45.3456,8.9073,true,true,false
1169,22,5,61,14,5,2027-2028,2,SYN-SIS-000022,MATH-AP-PRECALC,Y02-SEC-011,TCH-004,Assignment 05,5,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,73.07,73.07,72.96,73.2448,-6.3,summer_atrophy,75.2131,72.963,-2.2501,true,true,false
1170,22,5,61,14,6,2027-2028,2,SYN-SIS-000022,MATH-AP-PRECALC,Y02-SEC-011,TCH-004,Assignment 06,6,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,79.95,79.95,75.95,78.4753,6.88,school_year_growth,72.963,75.9453,2.9823,true,true,false
1171,23,7,71,14,5,2027-2028,2,SYN-SIS-000023,MATH-AP-CALC-AB,Y02-SEC-021,TCH-004,Assignment 05,5,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,79.07,79.07,82.78,78.9167,-3.34,summer_atrophy,83.9175,82.7838,-1.1337,true,true,false
1172,23,7,71,14,6,2027-2028,2,SYN-SIS-000023,MATH-AP-CALC-AB,Y02-SEC-021,TCH-004,Assignment 06,6,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,78.96,78.96,80.03,78.4289,-0.11,school_year_growth,82.7838,80.0258,-2.758,true,true,false
1173,25,5,61,14,5,2027-2028,2,SYN-SIS-000025,MATH-AP-PRECALC,Y02-SEC-011,TCH-004,Assignment 05,5,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,75.12,75.12,74.32,74.4489,-0.94,summer_atrophy,74.3216,74.3216,0.0,true,true,false
1174,25,5,61,14,6,2027-2028,2,SYN-SIS-000025,MATH-AP-PRECALC,Y02-SEC-011,TCH-004,Assignment 06,6,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,83.37,83.37,81.44,81.5235,8.25,school_year_growth,74.3216,81.4391,7.1175,true,true,false
1175,26,9,74,14,5,2027-2028,2,SYN-SIS-000026,MATH-BEYOND-CORE,Y02-SEC-024,TCH-004,Assignment 05,5,beginning_of_year,summer_atrophy,absent_no_update,absent_no_update,populated,0.0,,,,,summer_atrophy,47.9556,46.2405,-1.7151,true,false,true
1176,26,9,74,14,6,2027-2028,2,SYN-SIS-000026,MATH-BEYOND-CORE,Y02-SEC-024,TCH-004,Assignment 06,6,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,55.47,55.47,52.54,54.6378,6.5,school_year_growth,46.2405,52.5437,6.3032,true,true,false
1177,27,7,70,15,5,2027-2028,2,SYN-SIS-000027,MATH-AP-CALC-AB,Y02-SEC-020,TCH-005,Assignment 05,5,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,81.35,81.35,77.22,80.1073,3.47,summer_atrophy,77.44,77.2168,-0.2232,true,true,false
1178,27,7,70,15,6,2027-2028,2,SYN-SIS-000027,MATH-AP-CALC-AB,Y02-SEC-020,TCH-005,Assignment 06,6,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,81.41,81.41,83.21,80.6557,0.06,school_year_growth,77.2168,83.2138,5.997,true,true,false
1179,28,8,72,15,5,2027-2028,2,SYN-SIS-000028,MATH-AP-CALC-BC,Y02-SEC-022,TCH-005,Assignment 05,5,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,58.4,58.4,58.57,58.5237,-3.21,summer_atrophy,61.3518,58.566,-2.7858,true,true,false
1180,28,8,72,15,6,2027-2028,2,SYN-SIS-000028,MATH-AP-CALC-BC,Y02-SEC-022,TCH-005,Assignment 06,6,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,62.61,62.61,63.68,61.9262,4.21,school_year_growth,58.566,63.6812,5.1152,true,true,false
1181,29,6,65,13,5,2027-2028,2,SYN-SIS-000029,MATH-PRECALC,Y02-SEC-015,TCH-003,Assignment 05,5,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,49.96,49.96,51.5,50.5125,-5.44,summer_atrophy,55.5545,51.5001,-4.0544,true,true,false
1182,29,6,65,13,6,2027-2028,2,SYN-SIS-000029,MATH-PRECALC,Y02-SEC-015,TCH-003,Assignment 06,6,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,50.45,50.45,54.39,50.415,0.49,school_year_growth,51.5001,54.3871,2.887,true,true,false
1183,30,5,63,14,5,2027-2028,2,SYN-SIS-000030,MATH-AP-PRECALC,Y02-SEC-013,TCH-004,Assignment 05,5,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,86.48,86.48,83.57,85.5732,0.12,summer_atrophy,84.2336,83.5665,-0.6671,true,true,false
1184,30,5,63,14,6,2027-2028,2,SYN-SIS-000030,MATH-AP-PRECALC,Y02-SEC-013,TCH-004,Assignment 06,6,end_of_year,school_year_growth,school_year_growth,school_year_growth_from_latent_readiness,populated,88.14,88.14,84.13,87.0623,1.66,school_year_growth,83.5665,84.1257,0.5592,true,true,false
1185,31,7,70,15,5,2027-2028,2,SYN-SIS-000031,MATH-AP-CALC-AB,Y02-SEC-020,TCH-005,Assignment 05,5,beginning_of_year,summer_atrophy,summer_atrophy,summer_atrophy_from_latent_readiness,populated,75.28,75.28,73.83,74.4661,0.81,summer_atrophy,75.6063,73.8309,-1.7754,true,true,false
