school_year,school_year_offset,course_id,course_name,course_track,section_id,section_label,teacher_id,teacher_label,enrolled_students,boy_present_count,eoy_present_count,boy_avg_present_score,eoy_avg_present_score,avg_observed_growth_delta,boy_nonparticipation_rate,eoy_nonparticipation_rate
2030-2031,5,MATH-ALG2-H,Honors Algebra 2,honors,Y05-SEC-011,Honors Algebra 2 - Synthetic Section 06-11,TCH-003,Teacher 03,11,9,11,54.34,63.4,7.37,0.1818,0.0
2030-2031,5,MATH-GEOM,Geometry,regular,Y05-SEC-002,Geometry - Synthetic Section 06-02,TCH-002,Teacher 02,13,12,13,49.83,51.4,2.22,0.0769,0.0
2031-2032,6,MATH-AP-CALC-AB,AP Calculus AB,ap,Y06-SEC-021,AP Calculus AB - Synthetic Section 07-21,TCH-005,Teacher 05,13,13,12,46.01,48.31,3.1,0.0,0.0769
2031-2032,6,MATH-GEOM,Geometry,regular,Y06-SEC-002,Geometry - Synthetic Section 07-02,TCH-002,Teacher 02,12,10,12,40.05,50.47,9.02,0.1667,0.0
2026-2027,1,MATH-ALG2,Algebra 2,regular,Y01-SEC-007,Algebra 2 - Synthetic Section 02-07,TCH-002,Teacher 02,11,11,11,34.94,42.31,7.37,0.0,0.0
2029-2030,4,MATH-PRECALC,Precalculus,regular,Y04-SEC-018,Precalculus - Synthetic Section 05-18,TCH-004,Teacher 04,11,8,10,38.86,45.49,8.73,0.2727,0.0909
2029-2030,4,MATH-GEOM,Geometry,regular,Y04-SEC-006,Geometry - Synthetic Section 05-06,TCH-002,Teacher 02,13,11,11,35.86,43.99,6.32,0.1538,0.1538
2025-2026,0,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-023,AP Calculus AB - Synthetic Section 01-23,TCH-005,Teacher 05,12,11,12,57.49,61.52,3.25,0.0833,0.0
2025-2026,0,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-022,AP Calculus AB - Synthetic Section 01-22,TCH-005,Teacher 05,12,12,12,51.06,57.59,6.53,0.0,0.0
2025-2026,0,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-014,Honors Algebra 2 - Synthetic Section 01-14,TCH-003,Teacher 03,11,10,10,41.85,47.94,6.1,0.0909,0.0909
2026-2027,1,MATH-AP-CALC-BC,AP Calculus BC,ap,Y01-SEC-022,AP Calculus BC - Synthetic Section 02-22,TCH-005,Teacher 05,14,12,13,60.45,65.48,4.54,0.1429,0.0714
2026-2027,1,MATH-AP-CALC-AB,AP Calculus AB,ap,Y01-SEC-020,AP Calculus AB - Synthetic Section 02-20,TCH-005,Teacher 05,14,14,14,51.82,57.63,5.81,0.0,0.0
2026-2027,1,MATH-GEOM,Geometry,regular,Y01-SEC-002,Geometry - Synthetic Section 02-02,TCH-002,Teacher 02,14,14,13,44.07,47.8,4.41,0.0,0.0714
2026-2027,1,MATH-GEOM,Geometry,regular,Y01-SEC-005,Geometry - Synthetic Section 02-05,TCH-001,Teacher 01,13,13,13,34.12,41.51,7.39,0.0,0.0
2027-2028,2,MATH-AP-CALC-AB,AP Calculus AB,ap,Y02-SEC-020,AP Calculus AB - Synthetic Section 03-20,TCH-005,Teacher 05,11,11,7,56.19,61.17,1.68,0.0,0.3636
2027-2028,2,MATH-AP-PRECALC,AP Precalculus,ap,Y02-SEC-011,AP Precalculus - Synthetic Section 03-11,TCH-004,Teacher 04,14,14,12,68.04,72.02,3.17,0.0,0.1429
2027-2028,2,MATH-GEOM,Geometry,regular,Y02-SEC-005,Geometry - Synthetic Section 03-05,TCH-001,Teacher 01,12,12,11,35.08,40.08,8.3,0.0,0.0833
2027-2028,2,MATH-GEOM,Geometry,regular,Y02-SEC-003,Geometry - Synthetic Section 03-03,TCH-001,Teacher 01,12,12,9,52.69,53.57,5.37,0.0,0.25
2028-2029,3,MATH-ALG2,Algebra 2,regular,Y03-SEC-007,Algebra 2 - Synthetic Section 04-07,TCH-002,Teacher 02,12,11,11,32.1,40.03,8.13,0.0833,0.0833
2029-2030,4,MATH-AP-CALC-AB,AP Calculus AB,ap,Y04-SEC-023,AP Calculus AB - Synthetic Section 05-23,TCH-005,Teacher 05,10,9,9,46.85,54.47,4.7,0.1,0.1
2029-2030,4,MATH-GEOM,Geometry,regular,Y04-SEC-003,Geometry - Synthetic Section 05-03,TCH-002,Teacher 02,13,13,12,41.83,49.68,8.73,0.0,0.0769
2029-2030,4,MATH-GEOM,Geometry,regular,Y04-SEC-004,Geometry - Synthetic Section 05-04,TCH-002,Teacher 02,13,13,13,43.69,49.97,6.28,0.0,0.0
2030-2031,5,MATH-AP-PRECALC,AP Precalculus,ap,Y05-SEC-015,AP Precalculus - Synthetic Section 06-15,TCH-004,Teacher 04,12,11,9,54.86,62.45,6.21,0.0833,0.25
2030-2031,5,MATH-GEOM,Geometry,regular,Y05-SEC-005,Geometry - Synthetic Section 06-05,TCH-001,Teacher 01,12,11,11,44.01,52.05,6.5,0.0833,0.0833
2031-2032,6,MATH-PRECALC,Precalculus,regular,Y06-SEC-014,Precalculus - Synthetic Section 07-14,TCH-003,Teacher 03,12,11,10,43.96,48.1,4.81,0.0833,0.1667
2031-2032,6,MATH-AP-CALC-BC,AP Calculus BC,ap,Y06-SEC-022,AP Calculus BC - Synthetic Section 07-22,TCH-005,Teacher 05,12,12,10,63.88,66.48,3.1,0.0,0.1667
2031-2032,6,MATH-AP-PRECALC,AP Precalculus,ap,Y06-SEC-011,AP Precalculus - Synthetic Section 07-11,TCH-004,Teacher 04,12,10,12,68.98,74.35,5.67,0.1667,0.0
2031-2032,6,MATH-GEOM,Geometry,regular,Y06-SEC-004,Geometry - Synthetic Section 07-04,TCH-002,Teacher 02,12,10,11,41.46,45.23,4.01,0.1667,0.0833
2031-2032,6,MATH-GEOM,Geometry,regular,Y06-SEC-003,Geometry - Synthetic Section 07-03,TCH-001,Teacher 01,12,10,11,43.44,53.21,7.02,0.1667,0.0833
2025-2026,0,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-012,Honors Algebra 2 - Synthetic Section 01-12,TCH-003,Teacher 03,11,11,9,62.77,72.07,6.15,0.0,0.1818
2025-2026,0,MATH-AP-PRECALC,AP Precalculus,ap,Y00-SEC-016,AP Precalculus - Synthetic Section 01-16,TCH-004,Teacher 04,10,8,9,60.05,69.52,5.31,0.2,0.1
2028-2029,3,MATH-PRECALC,Precalculus,regular,Y03-SEC-017,Precalculus - Synthetic Section 04-17,TCH-004,Teacher 04,13,12,13,36.41,43.97,6.86,0.0769,0.0
2028-2029,3,MATH-ALG2,Algebra 2,regular,Y03-SEC-008,Algebra 2 - Synthetic Section 04-08,TCH-002,Teacher 02,11,10,10,34.14,42.36,6.96,0.0909,0.0909
2028-2029,3,MATH-GEOM,Geometry,regular,Y03-SEC-005,Geometry - Synthetic Section 04-05,TCH-001,Teacher 01,14,14,10,44.34,49.74,7.34,0.0,0.2857
2029-2030,4,MATH-AP-CALC-AB,AP Calculus AB,ap,Y04-SEC-022,AP Calculus AB - Synthetic Section 05-22,TCH-005,Teacher 05,11,11,10,44.14,49.87,8.38,0.0,0.0909
2029-2030,4,MATH-PRECALC,Precalculus,regular,Y04-SEC-017,Precalculus - Synthetic Section 05-17,TCH-003,Teacher 03,12,12,11,37.83,45.88,8.77,0.0,0.0833
2030-2031,5,MATH-PRECALC,Precalculus,regular,Y05-SEC-017,Precalculus - Synthetic Section 06-17,TCH-004,Teacher 04,13,11,11,39.07,48.39,6.87,0.1538,0.1538
2030-2031,5,MATH-ALG2-H,Honors Algebra 2,honors,Y05-SEC-010,Honors Algebra 2 - Synthetic Section 06-10,TCH-003,Teacher 03,11,11,7,63.56,68.88,7.92,0.0,0.3636
