section_dim_id,school_year,school_year_offset,section_id,section_label,period_label,course_id,course_dim_id,teacher_id,teacher_dim_id,teacher_label,target_enrollment,max_capacity,class_size_band,section_growth_effect,teacher_growth_effect
157,2031-2032,6,Y06-SEC-007,Algebra 2 - Synthetic Section 07-07,Period 4,MATH-ALG2,3,TCH-002,32,Teacher 02,12,12,small,0.3,0.1
158,2031-2032,6,Y06-SEC-008,Algebra 2 - Synthetic Section 07-08,Period 5,MATH-ALG2,3,TCH-002,32,Teacher 02,12,12,small,-0.3,0.1
159,2031-2032,6,Y06-SEC-009,Honors Algebra 2 - Synthetic Section 07-09,Period 1,MATH-ALG2-H,4,TCH-003,33,Teacher 03,14,18,standard,-0.2,0.2
160,2031-2032,6,Y06-SEC-010,Honors Algebra 2 - Synthetic Section 07-10,Period 2,MATH-ALG2-H,4,TCH-003,33,Teacher 03,14,18,standard,-0.1,0.2
161,2031-2032,6,Y06-SEC-011,AP Precalculus - Synthetic Section 07-11,Period 1,MATH-AP-PRECALC,5,TCH-004,34,Teacher 04,12,12,small,0.0,-0.1
162,2031-2032,6,Y06-SEC-012,AP Precalculus - Synthetic Section 07-12,Period 2,MATH-AP-PRECALC,5,TCH-004,34,Teacher 04,11,12,small,0.1,-0.1
163,2031-2032,6,Y06-SEC-013,AP Precalculus - Synthetic Section 07-13,Period 3,MATH-AP-PRECALC,5,TCH-004,34,Teacher 04,11,12,small,0.2,-0.1
164,2031-2032,6,Y06-SEC-014,Precalculus - Synthetic Section 07-14,Period 3,MATH-PRECALC,6,TCH-003,33,Teacher 03,12,12,small,0.3,0.2
165,2031-2032,6,Y06-SEC-015,Precalculus - Synthetic Section 07-15,Period 4,MATH-PRECALC,6,TCH-003,33,Teacher 03,11,12,small,-0.3,0.2
166,2031-2032,6,Y06-SEC-016,Precalculus - Synthetic Section 07-16,Period 4,MATH-PRECALC,6,TCH-004,34,Teacher 04,11,12,small,-0.2,-0.1
167,2031-2032,6,Y06-SEC-017,Precalculus - Synthetic Section 07-17,Period 5,MATH-PRECALC,6,TCH-003,33,Teacher 03,11,12,small,-0.1,0.2
168,2031-2032,6,Y06-SEC-018,AP Calculus AB - Synthetic Section 07-18,Period 1,MATH-AP-CALC-AB,7,TCH-005,35,Teacher 05,14,18,standard,0.0,0.05
169,2031-2032,6,Y06-SEC-019,AP Calculus AB - Synthetic Section 07-19,Period 2,MATH-AP-CALC-AB,7,TCH-005,35,Teacher 05,14,18,standard,0.1,0.05
170,2031-2032,6,Y06-SEC-020,AP Calculus AB - Synthetic Section 07-20,Period 3,MATH-AP-CALC-AB,7,TCH-005,35,Teacher 05,14,18,standard,0.2,0.05
171,2031-2032,6,Y06-SEC-021,AP Calculus AB - Synthetic Section 07-21,Period 4,MATH-AP-CALC-AB,7,TCH-005,35,Teacher 05,13,18,standard,0.3,0.05
172,2031-2032,6,Y06-SEC-022,AP Calculus BC - Synthetic Section 07-22,Period 5,MATH-AP-CALC-BC,8,TCH-005,35,Teacher 05,12,12,small,-0.3,0.05
173,2031-2032,6,Y06-SEC-023,AP Calculus BC - Synthetic Section 07-23,Period 6,MATH-AP-CALC-BC,8,TCH-005,35,Teacher 05,12,12,small,-0.2,0.05
174,2031-2032,6,Y06-SEC-024,Beyond Core Math Sequence - Synthetic Section 07-24,Period 5,MATH-BEYOND-CORE,9,TCH-004,34,Teacher 04,4,6,micro,-0.1,-0.1
